team,year,statName,statValue,category
Arizona State,2022,passingTDs,18,
Arizona State,2022,possessionTime,22137,
Arizona State,2022,interceptionTDs,1,
Arizona State,2022,kickReturnTDs,0,
Arizona State,2022,puntReturnTDs,0,
Arizona State,2022,fourthDowns,19,
Arizona State,2022,interceptionYards,114,
Arizona State,2022,games,12,
Arizona State,2022,puntReturns,19,
Arizona State,2022,rushingYards,1623,
Arizona State,2022,fumblesRecovered,1,
Arizona State,2022,rushingTDs,21,
Arizona State,2022,fourthDownConversions,12,
Arizona State,2022,turnovers,18,
Arizona State,2022,passCompletions,270,
Arizona State,2022,fumblesLost,8,
Arizona State,2022,puntReturnYards,63,
Arizona State,2022,interceptions,10,
Arizona State,2022,thirdDowns,151,
Arizona State,2022,kickReturnYards,757,
Arizona State,2022,rushingAttempts,385,
Arizona State,2022,sacks,17,
Arizona State,2022,penaltyYards,868,
Arizona State,2022,firstDowns,254,
Arizona State,2022,netPassingYards,3023,
Arizona State,2022,passAttempts,403,
Arizona State,2022,tacklesForLoss,50,
Arizona State,2022,thirdDownConversions,59,
Arizona State,2022,passesIntercepted,11,
Arizona State,2022,kickReturns,34,
Arizona State,2022,penalties,87,
Arkansas,2022,turnovers,18,
Arkansas,2022,kickReturns,9,
Arkansas,2022,fourthDownConversions,9,
Arkansas,2022,fumblesLost,11,
Arkansas,2022,thirdDowns,194,
Arkansas,2022,puntReturnTDs,1,
Arkansas,2022,fumblesRecovered,13,
Arkansas,2022,penaltyYards,723,
Arkansas,2022,passCompletions,230,
Arkansas,2022,tacklesForLoss,73,
Arkansas,2022,possessionTime,23698,
Arkansas,2022,penalties,83,
Arkansas,2022,passAttempts,356,
Arkansas,2022,thirdDownConversions,89,
Arkansas,2022,interceptions,7,
Arkansas,2022,rushingAttempts,606,
Arkansas,2022,netPassingYards,3041,
Arkansas,2022,firstDowns,311,
Arkansas,2022,rushingYards,3085,
Arkansas,2022,kickReturnYards,161,
Arkansas,2022,games,13,
Arkansas,2022,interceptionTDs,0,
Arkansas,2022,totalYards,6126,
Arkansas,2022,passesIntercepted,9,
Arkansas,2022,rushingTDs,27,
Arkansas,2022,kickReturnTDs,0,
Arkansas,2022,interceptionYards,83,
Arkansas,2022,passingTDs,26,
Arkansas,2022,sacks,39,
Arkansas,2022,puntReturns,16,
Arkansas,2022,fourthDowns,20,
Arkansas,2022,puntReturnYards,162,
Arkansas State,2022,puntReturnTDs,0,
Arkansas State,2022,kickReturns,51,
Arkansas State,2022,fumblesLost,4,
Arkansas State,2022,thirdDowns,167,
Arkansas State,2022,tacklesForLoss,77,
Arkansas State,2022,kickReturnTDs,1,
Arkansas State,2022,sacks,23,
Arkansas State,2022,kickReturnYards,1106,
Arkansas State,2022,puntReturnYards,96,
Arkansas State,2022,passAttempts,396,
Arkansas State,2022,interceptionYards,115,
Arkansas State,2022,possessionTime,21770,
Arkansas State,2022,fourthDownConversions,14,
Arkansas State,2022,fumblesRecovered,7,
